2011 census ks608ew to ks610ew - occupation by sex,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 15 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All usual residents aged 16 to 74 in employment the week before the census,,,,,,,,,
units,Persons,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Occupation,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
ualad09:Carlisle,"53,874","4,925","6,638","5,010","5,978","7,402","5,164","5,267","6,366","7,124"
ualad09:Copeland,"32,891","2,863","4,808","3,702","3,075","5,175","3,116","2,436","3,671","4,045"
ualad09:Eden,"27,461","3,209","3,561","2,429","2,507","5,355","2,499","1,961","2,440","3,500"
ualad09:South Lakeland,"51,672","6,930","8,423","5,073","4,724","8,508","4,709","4,170","3,051","6,084"
ualad09:Bolton,"123,367","12,018","18,434","14,147","14,556","14,129","11,969","12,973","10,887","14,254"
ualad09:Bury,"88,036","9,415","15,320","11,204","10,825","8,896","8,552","8,537","6,723","8,564"
ualad09:Manchester,"213,705","15,977","42,788","26,590","22,286","16,083","20,847","24,065","13,372","31,697"
ualad09:Oldham,"96,300","8,867","12,481","10,140","11,303","12,652","9,957","8,835","9,326","12,739"
ualad09:Rochdale,"90,753","8,295","12,413","9,382","10,711","10,805","10,074","8,456","9,076","11,541"
ualad09:Salford,"106,904","9,470","16,122","12,980","13,900","10,474","10,830","11,478","7,897","13,753"
ualad09:Stockport,"137,130","15,544","27,091","18,080","17,082","13,854","12,830","13,133","8,141","11,375"
ualad09:Tameside,"101,892","9,069","12,129","11,311","13,599","13,334","10,164","10,505","10,325","11,456"
ualad09:Trafford,"110,912","12,978","24,907","15,518","14,288","9,595","8,814","9,879","5,754","9,179"
ualad09:Wigan,"149,908","13,429","20,108","16,630","17,337","19,155","15,395","13,809","15,513","18,532"
ualad09:Burnley,"38,133","3,300","4,856","3,835","3,978","5,181","4,633","3,306","4,187","4,857"
ualad09:Chorley,"53,702","6,224","9,539","6,868","6,048","6,398","5,408","3,985","3,949","5,283"
ualad09:Fylde,"34,510","4,349","7,168","4,330","4,324","3,580","3,279","2,459","1,832","3,189"
ualad09:Hyndburn,"35,993","3,262","4,308","3,531","3,865","5,239","4,465","3,210","4,193","3,920"
ualad09:Lancaster,"62,832","5,815","11,379","6,764","6,095","7,712","7,580","5,572","4,357","7,558"
ualad09:Pendle,"39,324","3,747","5,172","3,802","3,786","5,641","4,254","3,674","4,875","4,373"
ualad09:Preston,"64,180","5,404","10,417","6,881","7,558","6,763","6,196","7,099","4,995","8,867"
ualad09:Ribble Valley,"28,713","3,954","5,796","3,232","2,969","4,030","2,758","1,562","1,807","2,605"
ualad09:Rossendale,"32,808","3,780","5,411","3,945","3,458","4,242","3,678","2,440","2,831","3,023"
ualad09:South Ribble,"55,761","5,626","9,185","6,976","7,633","6,887","5,539","4,656","4,104","5,155"
ualad09:West Lancashire,"51,694","5,751","8,787","5,469","5,824","6,071","5,300","3,897","4,268","6,327"
ualad09:Wyre,"48,558","5,209","7,397","5,120","6,816","6,703","5,137","3,917","3,456","4,803"
ualad09:Knowsley,"61,691","4,469","7,199","6,199","8,239","7,056","7,327","6,884","6,540","7,778"
