2011 census qs407ew - number of rooms,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All occupied household spaces,,,,,,,,,
units,Household spaces,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Number of rooms,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
uacounty09:Bexley,"92,604",441,"2,100","8,680","18,218","24,572","21,106","9,605","5,115","2,767"
uacounty09:Brent,"110,286","4,209","7,971","20,095","26,158","20,102","16,593","7,706","4,311","3,141"
uacounty09:Bromley,"130,862",893,"3,699","14,910","25,559","27,014","25,055","15,017","9,484","9,231"
uacounty09:Croydon,"145,010","2,217","7,186","20,815","30,437","30,065","26,503","13,286","7,844","6,657"
uacounty09:Ealing,"124,082","3,028","7,535","20,763","28,313","26,224","20,181","8,910","4,779","4,349"
uacounty09:Enfield,"119,916","2,013","5,393","17,283","27,303","29,700","20,691","9,117","4,696","3,720"
uacounty09:Greenwich,"101,045","1,387","5,686","17,856","25,058","24,788","15,262","5,913","2,831","2,264"
uacounty09:Harrow,"84,268",992,"3,032","9,791","15,936","18,375","17,736","8,874","5,200","4,332"
uacounty09:Havering,"97,199",391,"2,013","9,198","17,674","29,259","21,060","9,357","4,669","3,578"
uacounty09:Hillingdon,"100,214","1,150","3,889","12,176","22,505","24,815","19,570","8,415","4,369","3,325"
uacounty09:Hounslow,"94,902","1,804","5,463","15,822","23,361","21,472","15,041","6,240","3,173","2,526"
uacounty09:Kingston upon Thames,"63,639",895,"2,894","7,808","13,928","12,498","11,918","6,685","3,697","3,316"
uacounty09:Merton,"78,757",865,"3,873","11,362","17,384","17,768","14,892","6,218","3,144","3,251"
uacounty09:Redbridge,"99,105","1,149","4,523","12,686","18,844","21,215","19,640","10,392","6,124","4,532"
uacounty09:Richmond upon Thames,"79,835",890,"3,525","10,854","18,326","15,082","12,217","7,745","5,222","5,974"
uacounty09:Sutton,"78,174",721,"2,790","10,466","18,520","16,618","13,890","7,051","4,280","3,838"
uacounty09:Waltham Forest,"96,861","1,836","5,436","16,462","23,666","22,447","15,692","6,585","3,045","1,692"
uacounty09:Bracknell Forest,"45,878",289,"1,066","4,529","8,511","9,057","8,855","5,434","3,927","4,210"
uacounty09:Brighton and Hove,"121,540","3,140","8,599","22,948","29,960","23,102","16,927","8,519","4,581","3,764"
uacounty09:Isle of Wight,"61,085",255,"1,537","5,321","12,223","15,215","12,513","6,559","3,808","3,654"
uacounty09:Medway,"106,209",622,"2,740","8,775","16,846","31,420","25,779","10,797","5,283","3,947"
uacounty09:Milton Keynes,"98,584",561,"3,205","10,320","17,760","25,158","16,914","9,736","7,165","7,765"
uacounty09:Portsmouth,"85,473",842,"3,439","10,801","16,085","20,105","18,000","9,959","3,783","2,459"
uacounty09:Reading,"62,869",837,"3,376","8,291","12,033","14,576","12,175","5,479","3,035","3,067"
uacounty09:Slough,"50,766",802,"2,963","8,546","11,399","12,751","7,933","3,421","1,803","1,148"
uacounty09:Southampton,"98,254","1,708","5,035","15,780","21,111","21,177","18,521","8,535","3,794","2,593"
uacounty09:West Berkshire,"62,340",184,"1,325","4,927","9,809","12,994","11,751","7,520","5,796","8,034"
uacounty09:Windsor and Maidenhead,"58,349",323,"1,347","5,676","9,611","12,240","10,079","6,776","5,032","7,265"
uacounty09:Wokingham,"60,332",118,852,"3,732","8,046","11,291","10,899","8,827","7,609","8,958"
uacounty09:Buckinghamshire,"200,727",855,"4,181","16,430","31,574","40,598","37,324","23,885","18,627","27,253"
