2011 census qs402ew - accomodation type - households,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,
,,,,,,,,,,,,
population,All households,,,,,,,,,,,
units,Households,,,,,,,,,,,
date,2011,,,,,,,,,,,
,,,,,,,,,,,,
Area,All categories: Accommodation type,Unshared : Total,Unshared : Whole house or bungalow: Total,Unshared : Whole house or bungalow: Detached,Unshared : Whole house or bungalow: Semi-detached,Unshared : Whole house or bungalow: Terraced,"Unshared : Flat, maisonette or apartment: Total","Unshared : Flat, etc: Purpose-built flats or tenement","Unshared : Flat etc: Part of a converted or shared house","Unshared : Flat, etc: In commercial building",Unshared : Caravan etc,Shared 
ualad09:Blackburn with Darwen,"57,353","57,253","50,492","8,069","16,590","25,833","6,708","5,657",651,400,53,100
ualad09:Blackpool,"64,367","64,016","49,382","5,676","24,186","19,520","14,474","9,369","4,062","1,043",160,351
ualad09:Cheshire East,"159,441","159,344","142,477","56,685","51,914","33,878","16,202","13,418","1,706","1,078",665,97
ualad09:Cheshire West and Chester,"141,442","141,276","124,364","42,436","51,541","30,387","16,052","13,558","1,607",887,860,166
ualad09:Halton,"53,312","53,298","47,630","10,534","17,712","19,384","5,558","4,952",395,211,110,14
ualad09:Warrington,"85,140","85,119","75,901","20,419","35,151","20,331","9,158","7,956",850,352,60,21
ualad09:Allerdale,"42,345","42,339","38,715","11,456","14,063","13,196","3,445","2,507",512,426,179,6
ualad09:Barrow-in-Furness,"31,224","31,190","27,739","3,776","9,272","14,691","3,176","2,630",324,222,275,34
ualad09:Carlisle,"48,342","48,131","42,331","11,237","17,313","13,781","5,707","4,756",651,300,93,211
ualad09:Copeland,"30,536","30,514","28,152","7,143","11,738","9,271","2,166","1,633",328,205,196,22
ualad09:Eden,"23,043","23,037","20,745","8,869","7,007","4,869","2,171","1,543",412,216,121,6
ualad09:South Lakeland,"46,552","46,512","39,952","14,634","13,998","11,320","6,441","4,279","1,480",682,119,40
ualad09:Bolton,"116,371","116,168","100,114","19,294","40,787","40,033","15,977","14,192","1,066",719,77,203
ualad09:Bury,"78,113","78,090","67,539","14,394","30,090","23,055","10,523","9,256",814,453,28,23
ualad09:Manchester,"204,969","203,995","135,683","10,344","63,377","61,962","68,227","57,662","8,733","1,832",85,974
ualad09:Oldham,"89,703","89,669","78,684","11,259","30,754","36,671","10,947","9,877",533,537,38,34
ualad09:Rochdale,"87,552","87,497","74,810","13,510","29,595","31,705","12,583","11,298",749,536,104,55
ualad09:Salford,"103,556","103,072","74,821","9,062","36,463","29,296","28,151","26,146","1,302",703,100,484
ualad09:Stockport,"121,979","121,790","103,144","26,194","50,784","26,166","18,578","15,859","1,747",972,68,189
ualad09:Tameside,"94,953","94,849","80,615","10,877","36,062","33,676","14,190","12,638",888,664,44,104
ualad09:Trafford,"94,484","94,246","76,626","14,283","41,951","20,392","17,598","15,108","1,769",721,22,238
ualad09:Wigan,"136,386","136,323","123,572","24,013","62,373","37,186","12,684","11,013",973,698,67,63
ualad09:Burnley,"37,550","37,532","34,276","5,112","10,873","18,291","3,161","2,624",282,255,95,18
ualad09:Chorley,"44,919","44,880","40,566","13,393","15,144","12,029","4,108","3,571",269,268,206,39
ualad09:Fylde,"34,885","34,811","27,048","9,445","11,444","6,159","7,219","4,971","1,854",394,544,74
ualad09:Hyndburn,"34,341","34,328","31,094","4,145","9,167","17,782","3,106","2,602",279,225,128,13
ualad09:Lancaster,"57,822","57,620","47,951","10,658","21,948","15,345","9,199","6,593","2,075",531,470,202
ualad09:Pendle,"37,348","37,344","34,439","5,046","8,792","20,601","2,842","2,228",312,302,63,4
ualad09:Preston,"57,567","57,371","46,577","9,590","18,929","18,058","10,765","8,989","1,281",495,29,196
ualad09:Ribble Valley,"24,045","24,042","21,888","7,630","6,897","7,361","1,866","1,413",227,226,288,3
ualad09:Rossendale,"29,058","29,051","26,051","6,059","7,560","12,432","2,920","2,445",238,237,80,7
ualad09:South Ribble,"46,102","46,086","41,922","12,939","20,993","7,990","4,002","3,445",279,278,162,16
ualad09:West Lancashire,"45,381","45,361","40,623","13,449","16,849","10,325","4,214","3,704",315,195,524,20
ualad09:Wyre,"47,281","47,207","41,619","13,652","19,513","8,454","4,821","3,549",819,453,767,74
ualad09:Knowsley,"61,323","61,314","54,928","7,975","25,375","21,578","6,206","5,711",279,216,180,9
ualad09:Liverpool,"206,515","204,604","156,862","14,735","58,297","83,830","47,703","36,357","9,058","2,288",39,"1,911"
ualad09:Sefton,"117,930","117,386","96,235","18,291","55,240","22,704","21,118","15,729","4,339","1,050",33,544
ualad09:St. Helens,"75,736","75,699","69,340","11,149","35,668","22,523","6,339","5,584",387,368,20,37
