2011 census ks209ew - religion,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 9 May 2013],,,,,,,,,,,
,,,,,,,,,,,
population,All usual residents,,,,,,,,,,
units,Persons,,,,,,,,,,
date,2011,,,,,,,,,,
,,,,,,,,,,,
Area,All categories: Religion,Has religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
uacounty09:Bexley,"231,997","159,776","144,093","1,377","3,547",234,"5,645","4,156",724,"55,995","16,226"
uacounty09:Brent,"311,215","256,699","129,080","4,300","55,449","4,357","58,036","1,709","3,768","33,054","21,462"
uacounty09:Bromley,"309,392","204,895","187,656","1,580","4,987",957,"7,841",736,"1,138","80,303","24,194"
uacounty09:Croydon,"363,378","262,967","205,022","2,381","21,739",709,"29,513","1,450","2,153","72,654","27,757"
uacounty09:Ealing,"338,449","264,292","148,055","4,228","28,915","1,131","53,198","26,778","1,987","50,848","23,309"
uacounty09:Enfield,"312,466","239,749","167,417","1,824","10,927","4,412","52,141","1,078","1,950","48,522","24,195"
uacounty09:Greenwich,"254,557","170,286","134,632","4,223","9,087",492,"17,349","3,490","1,013","65,034","19,237"
uacounty09:Harrow,"239,056","201,404","89,181","2,700","60,407","10,538","29,881","2,752","5,945","22,871","14,781"
uacounty09:Havering,"237,232","167,884","155,597",760,"2,963","1,159","4,829","1,928",648,"53,549","15,799"
uacounty09:Hillingdon,"273,936","209,949","134,813","2,386","22,033","1,753","29,065","18,230","1,669","46,492","17,495"
uacounty09:Hounslow,"253,957","197,144","106,660","3,617","26,261",651,"35,666","22,749","1,540","40,351","16,462"
uacounty09:Kingston upon Thames,"160,060","106,244","84,684","1,771","7,502",775,"9,474","1,236",802,"41,183","12,633"
uacounty09:Merton,"199,693","144,441","111,993","1,884","12,203",791,"16,262",498,810,"41,231","14,021"
uacounty09:Redbridge,"278,970","230,231","102,755","1,840","31,699","10,213","64,999","17,377","1,348","30,691","18,048"
uacounty09:Richmond upon Thames,"186,990","117,955","103,319","1,577","3,051","1,409","6,128","1,581",890,"53,195","15,840"
uacounty09:Sutton,"190,146","129,825","111,086","1,368","8,038",486,"7,726",325,796,"46,817","13,504"
uacounty09:Waltham Forest,"258,249","192,845","124,939","1,987","5,917","1,259","56,541","1,209",993,"46,462","18,942"
uacounty09:Bracknell Forest,"113,205","73,570","68,524",825,"1,824",176,"1,276",455,490,"32,184","7,451"
uacounty09:Brighton and Hove,"273,369","133,326","117,276","2,742","1,792","2,670","6,095",342,"2,409","115,954","24,089"
uacounty09:Isle of Wight,"138,265","86,040","83,671",459,312,124,524,45,905,"40,950","11,275"
uacounty09:Medway,"263,925","166,945","152,637",937,"2,756",208,"5,169","3,846","1,392","78,995","17,985"
uacounty09:Milton Keynes,"248,821","154,444","131,352","1,246","6,918",427,"11,913","1,372","1,216","77,939","16,438"
uacounty09:Portsmouth,"205,056","118,358","106,999","1,162","1,282",235,"7,162",468,"1,050","71,826","14,872"
uacounty09:Reading,"155,698","98,395","77,848","1,876","5,661",355,"11,007",947,701,"45,931","11,372"
uacounty09:Slough,"140,205","115,225","57,726",743,"8,643",87,"32,655","14,889",482,"17,024","7,956"
uacounty09:Southampton,"236,882","140,793","122,018","1,331","2,482",254,"9,903","3,476","1,329","79,379","16,710"
uacounty09:West Berkshire,"153,822","101,770","97,896",495,"1,106",212,"1,218",236,607,"41,042","11,010"
uacounty09:Windsor and Maidenhead,"144,560","103,104","90,051",780,"2,660",475,"5,684","2,941",513,"31,353","10,103"
uacounty09:Wokingham,"154,380","103,017","91,905",572,"3,183",508,"4,352","2,043",454,"40,143","11,220"
uacounty09:Buckinghamshire,"505,283","348,007","305,804","2,207","6,244","1,511","25,781","4,657","1,803","121,190","36,086"
uacounty09:East Sussex,"526,671","328,311","315,659","2,190","1,501","1,074","4,201",178,"3,508","155,723","42,637"
uacounty09:Hampshire,"1,317,788","855,721","822,179","7,246","8,928","1,286","7,999","2,389","5,694","367,060","95,007"
uacounty09:Kent,"1,463,740","965,344","915,200","6,802","10,943","1,777","13,932","10,545","6,145","391,591","106,805"
uacounty09:Oxfordshire,"653,798","422,576","393,906","3,257","3,878","1,893","15,734","1,192","2,716","182,344","48,878"
uacounty09:Surrey,"1,132,390","767,500","711,110","6,019","15,018","3,055","24,378","3,783","4,137","280,814","84,076"
uacounty09:West Sussex,"806,892","528,152","498,367","3,057","7,368","1,434","12,668","1,137","4,121","216,844","61,896"
uacounty09:Bath and North East Somerset,"176,016","103,452","99,468",941,535,254,"1,179",140,935,"57,626","14,938"
uacounty09:Bournemouth,"183,491","113,314","104,828","1,215","1,292","1,343","3,264",156,"1,216","55,911","14,266"
"uacounty09:Bristol, City of","428,234","233,234","200,254","2,549","2,712",777,"22,016","2,133","2,793","160,218","34,782"
uacounty09:Cornwall,"532,273","325,597","318,357","1,726",556,389,855,105,"3,609","161,320","45,356"
uacounty09:Isles of Scilly,"2,203","1,247","1,218",9,1,4,3,0,12,742,214
uacounty09:North Somerset,"202,566","126,499","123,545",554,340,157,869,95,939,"60,867","15,200"
uacounty09:Plymouth,"256,384","153,898","148,917",881,567,168,"2,078",89,"1,198","84,295","18,191"
uacounty09:Poole,"147,645","92,527","89,243",538,511,404,"1,035",79,717,"43,922","11,196"
uacounty09:South Gloucestershire,"262,767","162,725","156,504",708,"1,681",145,"2,176",623,888,"80,607","19,435"
uacounty09:Swindon,"209,156","130,071","120,287","1,209","2,597",151,"3,538","1,228","1,061","64,780","14,305"
uacounty09:Torbay,"130,959","84,814","82,924",389,128,109,521,41,702,"36,035","10,110"
uacounty09:Wiltshire,"470,981","309,758","301,651","1,621","1,308",384,"2,074",303,"2,417","125,045","36,178"
uacounty09:Devon,"746,399","470,622","458,778","2,726",818,685,"3,091",263,"4,261","213,045","62,732"
uacounty09:Dorset,"412,905","275,722","269,737","1,280",550,519,"1,318",88,"2,230","104,221","32,962"
uacounty09:Gloucestershire,"596,984","392,807","379,144","1,772","2,222",539,"5,741",449,"2,940","159,496","44,681"
uacounty09:Somerset,"529,972","346,597","339,211","1,612",506,337,"1,470",100,"3,361","141,071","42,304"
uacounty09:Anglesey,"69,751","46,200","45,400",165,45,40,250,43,257,"17,797","5,754"
uacounty09:Gwynedd,"121,874","75,276","72,503",426,238,55,"1,378",39,637,"36,163","10,435"
uacounty09:Conwy,"115,228","76,199","74,506",347,206,62,583,17,478,"30,017","9,012"
uacounty09:Denbighshire,"93,734","61,416","60,129",266,167,32,469,8,345,"25,132","7,186"
uacounty09:Flintshire,"152,506","102,743","101,298",344,158,70,482,29,362,"38,726","11,037"
uacounty09:Wrexham,"134,844","87,746","85,576",351,504,58,860,87,310,"36,927","10,171"
uacounty09:Powys,"132,976","84,173","82,120",567,324,80,235,49,798,"37,050","11,753"
uacounty09:Ceredigion,"75,922","45,890","43,981",355,197,64,521,30,742,"23,329","6,703"
uacounty09:Pembrokeshire,"122,439","78,973","77,162",422,230,50,425,36,648,"33,442","10,024"
uacounty09:Carmarthenshire,"183,777","116,082","113,534",420,351,82,625,125,945,"53,036","14,659"
uacounty09:Swansea,"239,023","139,981","131,451",856,780,159,"5,415",278,"1,042","81,219","17,823"
uacounty09:Neath Port Talbot,"139,812","82,360","80,646",312,144,39,573,113,533,"47,265","10,187"
uacounty09:Bridgend,"139,178","78,355","76,625",357,270,33,529,46,495,"51,062","9,761"
uacounty09:The Vale of Glamorgan,"126,336","75,487","73,384",356,269,90,785,75,528,"41,556","9,293"
uacounty09:Cardiff,"346,090","211,350","177,743","1,690","4,736",802,"23,656","1,317","1,406","109,960","24,780"
"uacounty09:Rhondda, Cynon, Taff","234,410","121,508","118,388",518,401,87,"1,061",183,870,"95,549","17,353"
uacounty09:Merthyr Tydfil,"58,802","33,626","32,948",124,80,4,197,52,221,"21,048","4,128"
uacounty09:Caerphilly,"178,806","92,398","90,669",278,174,69,391,152,665,"73,084","13,324"
uacounty09:Blaenau Gwent,"69,814","35,468","34,805",112,72,8,179,39,253,"28,676","5,670"
uacounty09:Torfaen,"91,075","51,561","50,472",222,241,16,238,56,316,"32,605","6,909"
uacounty09:Monmouthshire,"91,323","58,274","57,101",269,162,65,239,47,391,"26,018","7,031"
uacounty09:Newport,"145,736","91,465","82,858",360,685,99,"6,859",141,463,"43,336","10,935"
ualad09:Darlington,"105,564","73,433","71,122",307,317,45,971,361,310,"25,415","6,716"
