2011 census qs113ew - household composition - households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All categories: Household composition,One person household: Total,One person household: Aged 65 and over,One person household: Other,One family only: Total,One family only: All aged 65 and over,One family only: Married cple: Total,One family only: Married cple: No kids,One family only: Married cple: One dep child,One family only: Married cple: Two or more dep kids,One family only: Married cple: All kids non-dep,One family only: Same-sex civ part cple: Total,One family only: Same-sex civ part cple: No kids,Same-sex civ part cple: One dep child,Same-sex civ part cple: Two plus dep kids,One family only: Same-sex civ part cple: All kids non-dep,One family only: Cohabiting cple: Total,One family only: Cohabiting cple: No kids,One family only: Cohabiting cple: One dep child,One family only: Cohabiting cple: Two or more dep kids,One family only: Cohabiting cple: All kids non-dep,One family only: Lone parent: Total,One family only: Lone parent: One dep child,One family only: Lone parent: Two or more dep kids,One family only: Lone parent: All kids non-dep,Other: Total,Other: With one dep child,Other: With two or more dep kids,Other: All full-time students,Other: All aged 65 and over,Other: Other
ualad09:North Warwickshire,"25,812","6,776","3,120","3,656","17,709","2,487","9,873","3,906","1,571","2,389","2,007",31,30,1,0,0,"2,911","1,429",633,670,179,"2,407",857,651,899,"1,327",309,243,1,66,708
ualad09:Nuneaton and Bedworth,"52,711","15,090","6,432","8,658","34,720","4,581","18,893","7,091","3,383","4,739","3,680",46,38,5,3,0,"5,492","2,581","1,350","1,298",263,"5,708","2,128","1,845","1,735","2,901",614,573,8,136,"1,570"
ualad09:Rugby,"41,875","11,784","4,979","6,805","27,494","3,935","15,195","5,866","2,794","4,290","2,245",48,42,2,4,0,"4,451","2,456",939,873,183,"3,865","1,467","1,208","1,190","2,597",479,424,13,123,"1,558"
ualad09:Stratford-on-Avon,"51,928","14,804","7,482","7,322","34,498","6,137","19,852","8,074","3,209","5,472","3,097",46,42,4,0,0,"4,444","2,645",826,786,187,"4,019","1,435","1,098","1,486","2,626",421,368,40,176,"1,621"
ualad09:Warwick,"58,679","18,600","7,196","11,404","35,403","5,003","19,579","7,267","3,422","5,814","3,076",78,70,5,2,1,"5,690","3,708",927,864,191,"5,053","2,002","1,346","1,705","4,676",679,551,977,138,"2,331"
ualad09:Birmingham,"410,736","131,200","47,586","83,614","232,523","22,298","116,304","32,069","20,594","42,374","21,267",450,407,18,18,7,"33,319","16,798","6,864","7,773","1,884","60,152","22,092","19,379","18,681","47,013","8,348","11,908","4,840","1,107","20,810"
ualad09:Coventry,"128,592","40,148","15,353","24,795","75,186","8,970","37,609","12,057","7,119","11,233","7,200",87,80,3,0,4,"11,071","5,495","2,416","2,573",587,"17,449","7,130","5,266","5,053","13,258","2,059","2,065","2,823",302,"6,009"
ualad09:Dudley,"129,867","36,652","17,112","19,540","86,313","13,015","46,216","15,947","7,989","12,537","9,743",81,69,7,3,2,"13,247","6,337","3,089","3,151",670,"13,754","4,796","3,904","5,054","6,902","1,580","1,560",17,341,"3,404"
ualad09:Sandwell,"121,498","35,935","15,576","20,359","74,636","8,402","37,991","11,605","7,237","11,150","7,999",88,77,1,7,3,"11,738","4,839","2,909","3,233",757,"16,417","5,879","5,036","5,502","10,927","2,630","2,957",92,384,"4,864"
ualad09:Solihull,"86,056","25,102","11,924","13,178","56,489","8,801","31,601","10,359","5,410","9,440","6,392",54,50,1,1,2,"6,714","3,301","1,444","1,576",393,"9,319","3,364","2,772","3,183","4,465",997,954,16,232,"2,266"
ualad09:Walsall,"107,822","30,771","13,845","16,926","69,261","9,594","35,672","11,732","6,196","10,164","7,580",66,55,4,7,0,"11,030","4,663","2,576","3,106",685,"12,899","4,628","3,760","4,511","7,790","1,781","2,281",59,291,"3,378"
ualad09:Wolverhampton,"102,177","32,876","13,166","19,710","60,631","7,503","29,725","9,376","5,431","8,381","6,537",67,57,5,3,2,"8,998","3,924","2,030","2,462",582,"14,338","5,601","4,033","4,704","8,670","1,953","2,076",286,308,"4,047"
ualad09:Bromsgrove,"38,290","10,041","5,153","4,888","26,576","4,502","15,345","5,605","2,679","4,386","2,675",35,30,3,2,0,"3,432","1,870",667,696,199,"3,262","1,181",863,"1,218","1,673",345,281,1,84,962
ualad09:Malvern Hills,"32,212","9,555","5,006","4,549","21,077","4,146","11,561","5,066","1,746","2,926","1,823",32,30,1,1,0,"2,803","1,523",552,599,129,"2,535",881,710,944,"1,580",283,240,2,153,902
ualad09:Redditch,"34,722","9,282","3,534","5,748","23,194","2,523","12,764","4,959","2,209","3,355","2,241",36,33,1,0,2,"3,984","2,134",831,836,183,"3,887","1,602","1,114","1,171","2,246",496,448,2,53,"1,247"
ualad09:Worcester,"42,042","13,135","4,876","8,259","25,876","3,030","13,668","5,184","2,589","3,813","2,082",34,29,4,1,0,"4,844","2,809",935,901,199,"4,300","1,681","1,298","1,321","3,031",416,440,353,88,"1,734"
ualad09:Wychavon,"49,466","12,886","6,764","6,122","34,072","6,043","19,378","8,029","3,140","5,095","3,114",51,45,1,1,4,"4,642","2,581",852,970,239,"3,958","1,409","1,015","1,534","2,508",519,379,5,135,"1,470"
ualad09:Wyre Forest,"42,985","12,890","5,974","6,916","27,870","4,577","14,613","6,154","2,275","3,457","2,727",32,27,4,0,1,"4,397","2,240",989,921,247,"4,251","1,667","1,142","1,442","2,225",448,356,4,140,"1,277"
ualad09:Bedford,"63,812","18,396","7,616","10,780","40,605","5,210","22,600","7,889","4,146","6,871","3,694",68,57,4,6,1,"5,693","3,084","1,189","1,134",286,"7,034","2,651","2,203","2,180","4,811",897,"1,021",325,150,"2,418"
ualad09:Central Bedfordshire,"104,399","27,030","11,724","15,306","72,049","8,854","41,854","15,417","7,457","11,997","6,983",110,98,5,5,2,"11,205","5,920","2,300","2,375",610,"10,026","3,835","2,932","3,259","5,320","1,074",965,116,220,"2,945"
ualad09:Luton,"74,293","20,319","7,171","13,148","43,985","4,307","24,575","6,799","4,560","9,019","4,197",74,64,4,4,2,"6,107","3,069","1,374","1,333",331,"8,922","3,135","2,931","2,856","9,989","1,874","2,612",907,169,"4,427"
ualad09:Peterborough,"74,023","21,252","8,093","13,159","45,713","5,192","24,297","8,886","4,511","7,334","3,566",60,48,7,3,2,"7,866","4,061","1,764","1,677",364,"8,298","3,150","2,732","2,416","7,058","1,487","1,587",47,123,"3,814"
ualad09:Southend-on-Sea,"74,678","24,386","10,251","14,135","44,834","6,073","22,421","7,862","3,964","6,858","3,737",86,80,4,1,1,"8,402","4,412","1,719","1,858",413,"7,852","2,809","2,248","2,795","5,458",921,905,64,303,"3,265"
ualad09:Thurrock,"62,353","16,368","6,379","9,989","41,175","4,000","22,656","7,247","4,293","6,880","4,236",38,36,1,1,0,"7,527","3,367","1,741","1,962",457,"6,954","2,563","2,181","2,210","4,810","1,003","1,094",44,137,"2,532"
ualad09:Cambridge,"46,714","15,848","5,194","10,654","24,025","2,671","12,974","4,792","2,611","3,892","1,679",90,80,5,5,0,"5,078","3,319",807,796,156,"3,212","1,129",848,"1,235","6,841",595,554,"1,097",107,"4,488"
ualad09:East Cambridgeshire,"34,614","8,893","4,117","4,776","23,871","3,296","14,170","5,487","2,549","4,142","1,992",63,57,2,3,1,"4,052","2,295",746,812,199,"2,290",784,680,826,"1,850",363,331,2,96,"1,058"
ualad09:Fenland,"40,620","11,576","5,809","5,767","26,460","4,365","13,934","6,192","2,175","3,359","2,208",37,33,3,1,0,"4,397","2,217",942,980,258,"3,727","1,455","1,136","1,136","2,584",568,443,1,137,"1,435"
ualad09:Huntingdonshire,"69,333","17,691","7,389","10,302","47,639","6,396","27,815","10,984","4,588","8,146","4,097",74,63,3,7,1,"7,742","4,306","1,489","1,613",334,"5,612","1,995","1,686","1,931","4,003",752,646,13,168,"2,424"
ualad09:South Cambridgeshire,"59,960","14,772","6,899","7,873","41,866","5,818","25,782","9,629","4,283","8,434","3,436",99,79,10,7,3,"6,075","3,488","1,128","1,175",284,"4,092","1,417","1,128","1,547","3,322",560,543,34,153,"2,032"
ualad09:Basildon,"72,746","21,480","8,981","12,499","47,099","5,889","25,391","8,847","4,480","7,325","4,739",39,34,1,2,2,"7,368","3,580","1,558","1,852",378,"8,412","2,904","2,713","2,795","4,167",846,829,6,186,"2,300"
ualad09:Braintree,"61,043","16,537","7,224","9,313","41,475","5,326","23,533","8,982","3,973","6,813","3,765",78,64,4,9,1,"6,567","3,393","1,393","1,471",310,"5,971","2,218","1,820","1,933","3,031",504,498,11,123,"1,895"
ualad09:Brentwood,"30,646","8,853","4,179","4,674","20,161","3,110","11,615","3,670","2,002","3,761","2,182",19,17,1,1,0,"2,759","1,555",487,549,168,"2,658",978,683,997,"1,632",286,260,5,86,995
ualad09:Castle Point,"36,440","9,524","5,349","4,175","25,004","4,397","13,941","5,263","2,116","3,464","3,098",17,12,3,2,0,"3,257","1,511",701,795,250,"3,392","1,105",940,"1,347","1,912",462,348,5,122,975
ualad09:Chelmsford,"69,667","19,138","7,991","11,147","46,801","6,551","26,948","9,557","4,558","8,141","4,692",81,69,4,7,1,"7,078","4,044","1,335","1,373",326,"6,143","2,127","1,770","2,246","3,728",571,524,113,165,"2,355"
ualad09:Colchester,"71,634","20,849","8,175","12,674","45,899","6,101","25,136","9,543","4,521","7,242","3,830",87,75,9,2,1,"7,457","4,142","1,458","1,521",336,"7,118","2,781","2,117","2,220","4,886",678,535,843,178,"2,652"
ualad09:Epping Forest,"51,991","15,285","6,989","8,296","33,641","4,660","18,844","6,313","3,399","5,422","3,710",60,54,0,6,0,"4,887","2,504",997,"1,075",311,"5,190","1,788","1,472","1,930","3,065",550,606,96,161,"1,652"
ualad09:Harlow,"34,620","10,599","4,281","6,318","21,818","2,505","11,004","3,777","2,014","3,229","1,984",31,22,3,4,2,"3,741","1,709",848,983,201,"4,537","1,663","1,464","1,410","2,203",403,368,33,77,"1,322"
ualad09:Maldon,"25,817","6,923","3,451","3,472","17,718","2,849","10,464","4,209","1,692","2,820","1,743",24,22,2,0,0,"2,465","1,287",525,510,143,"1,916",600,544,772,"1,176",206,200,3,78,689
ualad09:Rochford,"33,564","8,112","4,644","3,468","23,676","3,941","13,946","4,966","2,155","4,066","2,759",30,20,3,4,3,"3,126","1,549",633,731,213,"2,633",832,693,"1,108","1,776",380,305,2,113,976
ualad09:Tendring,"62,105","20,545","11,540","9,005","38,483","8,399","18,987","8,529","2,680","4,385","3,393",56,52,3,0,1,"4,983","2,380","1,069","1,215",319,"6,058","2,195","1,905","1,958","3,077",581,560,4,333,"1,599"
ualad09:Uttlesford,"31,316","7,372","3,673","3,699","22,160","3,089","13,514","4,838","2,208","4,462","2,006",38,32,5,1,0,"3,209","1,700",610,741,158,"2,310",775,662,873,"1,784",314,327,4,82,"1,057"
ualad09:Broxbourne,"37,658","10,070","4,584","5,486","25,251","3,379","13,647","4,065","2,458","4,201","2,923",23,18,1,3,1,"3,769","1,695",830,985,259,"4,433","1,557","1,352","1,524","2,337",528,454,8,101,"1,246"
ualad09:Dacorum,"59,938","17,275","7,207","10,068","39,270","4,958","21,954","7,429","3,887","7,021","3,617",56,48,1,5,2,"6,306","3,482","1,258","1,262",304,"5,996","2,228","1,769","1,999","3,393",626,601,28,134,"2,004"
ualad09:East Hertfordshire,"56,577","15,722","6,379","9,343","37,886","4,794","22,546","7,536","3,961","7,689","3,360",62,58,2,1,1,"6,022","3,436","1,091","1,220",275,"4,462","1,644","1,306","1,512","2,969",442,421,11,124,"1,971"
ualad09:Hertsmere,"39,778","11,148","5,040","6,108","25,700","3,347","14,885","4,363","2,819","5,045","2,658",30,29,0,0,1,"3,137","1,530",670,708,229,"4,301","1,497","1,230","1,574","2,930",493,595,130,86,"1,626"
ualad09:North Hertfordshire,"53,426","15,494","6,728","8,766","35,077","4,668","19,944","7,151","3,569","6,186","3,038",61,52,3,3,3,"5,624","3,177","1,088","1,130",229,"4,780","1,685","1,449","1,646","2,855",541,478,8,128,"1,700"
ualad09:St Albans,"56,140","14,988","6,390","8,598","37,820","4,832","23,152","6,935","4,063","8,988","3,166",57,50,0,7,0,"5,335","3,274",933,909,219,"4,444","1,601","1,150","1,693","3,332",508,550,26,98,"2,150"
ualad09:Stevenage,"34,898","10,455","4,083","6,372","22,334","2,441","11,807","3,990","2,395","3,329","2,093",35,33,1,0,1,"3,714","1,752",847,924,191,"4,337","1,528","1,468","1,341","2,109",405,382,26,47,"1,249"
ualad09:Three Rivers,"35,108","9,738","4,433","5,305","23,197","3,109","13,665","4,154","2,492","4,576","2,443",21,17,1,2,1,"3,065","1,630",611,672,152,"3,337","1,119",986,"1,232","2,173",445,447,7,88,"1,186"
ualad09:Watford,"36,681","11,392","3,655","7,737","21,851","1,986","12,212","3,540","2,499","4,171","2,002",37,35,1,0,1,"3,705","2,161",736,640,168,"3,911","1,557","1,082","1,272","3,438",606,637,53,87,"2,055"
ualad09:Welwyn Hatfield,"43,613","12,533","5,427","7,106","26,884","3,741","14,705","4,788","2,837","4,739","2,341",48,39,5,4,0,"4,159","2,105",828,981,245,"4,231","1,627","1,209","1,395","4,196",548,403,"1,170",108,"1,967"
ualad09:Breckland,"54,519","14,150","7,465","6,685","37,070","6,575","19,979","8,802","3,236","4,905","3,036",60,54,3,2,1,"5,846","3,067","1,220","1,269",290,"4,610","1,696","1,370","1,544","3,299",681,535,3,180,"1,900"
ualad09:Broadland,"53,336","14,087","7,527","6,560","36,976","6,734","20,870","8,899","3,317","5,313","3,341",71,64,4,3,0,"5,250","2,907","1,007","1,075",261,"4,051","1,342","1,246","1,463","2,273",404,309,2,172,"1,386"
ualad09:Great Yarmouth,"42,079","12,571","6,244","6,327","26,896","4,343","13,080","5,589","2,065","2,984","2,442",39,32,4,2,1,"4,756","2,079","1,123","1,263",291,"4,678","1,907","1,339","1,432","2,612",514,416,7,124,"1,551"
ualad09:King`s Lynn and West Norfolk,"62,977","17,116","9,059","8,057","41,940","8,187","22,170","10,051","3,401","5,224","3,494",65,50,6,4,5,"6,656","3,397","1,365","1,530",364,"4,862","1,584","1,503","1,775","3,921",731,628,10,325,"2,227"
ualad09:North Norfolk,"46,046","14,320","8,226","6,094","29,492","6,995","14,958","7,539","1,980","3,137","2,302",80,79,1,0,0,"4,222","2,250",816,916,240,"3,237","1,154",844,"1,239","2,234",366,297,0,282,"1,289"
ualad09:Norwich,"60,319","23,020","7,669","15,351","31,236","3,631","13,564","5,726","2,487","3,388","1,963",115,98,6,7,4,"7,697","4,629","1,338","1,469",261,"6,229","2,651","1,768","1,810","6,063",474,436,"1,459",145,"3,549"
ualad09:South Norfolk,"52,809","13,870","7,107","6,763","36,687","6,585","20,462","8,789","3,126","5,519","3,028",94,85,6,1,2,"5,588","3,162","1,060","1,125",241,"3,958","1,400","1,173","1,385","2,252",359,342,7,201,"1,343"
ualad09:Babergh,"37,522","10,570","5,306","5,264","25,424","4,407","14,417","6,152","2,149","3,926","2,190",45,39,1,4,1,"3,529","1,909",709,763,148,"3,026",980,926,"1,120","1,528",258,232,1,126,911
ualad09:Forest Heath,"25,376","7,238","2,909","4,329","16,403","2,177","9,094","3,821","1,643","2,451","1,179",16,15,1,0,0,"2,839","1,681",556,468,134,"2,277",942,596,739,"1,735",310,217,12,83,"1,113"
ualad09:Ipswich,"57,298","18,507","6,763","11,744","35,005","4,052","17,576","6,522","3,170","5,006","2,878",77,59,12,5,1,"7,047","3,663","1,563","1,487",334,"6,253","2,395","1,934","1,924","3,786",664,574,39,138,"2,371"
ualad09:Mid Suffolk,"40,306","10,219","5,219","5,000","28,436","4,678","16,649","7,157","2,418","4,653","2,421",60,54,2,3,1,"3,983","2,177",744,894,168,"3,066","1,111",891,"1,064","1,651",301,311,2,100,937
ualad09:St Edmundsbury,"45,802","12,089","5,841","6,248","30,784","4,880","17,031","6,922","2,809","4,794","2,506",58,51,2,1,4,"4,765","2,564",932,"1,040",229,"4,050","1,521","1,175","1,354","2,929",520,358,7,156,"1,888"
ualad09:Suffolk Coastal,"53,558","15,645","8,261","7,384","35,666","6,900","19,965","8,542","2,969","5,554","2,900",55,50,4,1,0,"4,714","2,574",894,"1,008",238,"4,032","1,510","1,156","1,366","2,247",374,406,5,224,"1,238"
ualad09:Waveney,"50,883","15,745","8,300","7,445","32,739","6,414","16,277","7,288","2,368","3,957","2,664",53,45,2,6,0,"5,265","2,529","1,107","1,336",293,"4,730","1,838","1,334","1,558","2,399",481,443,6,177,"1,292"
ualad09:Camden,"97,534","39,531","10,113","29,418","41,503","2,593","19,192","6,622","3,733","6,528","2,309",469,444,10,6,9,"9,534","7,295","1,019",918,302,"9,715","3,522","2,768","3,425","16,500","1,399","1,645","2,322",339,"10,795"
ualad09:City of London,"4,385","2,472",526,"1,946","1,523",137,767,466,130,113,58,47,47,0,0,0,419,351,44,19,5,153,73,18,62,390,20,14,30,16,310
ualad09:Hackney,"101,690","35,635","7,421","28,214","46,272","1,469","18,695","4,959","3,795","7,434","2,507",360,314,26,16,4,"10,551","7,399","1,494","1,364",294,"15,197","5,995","4,775","4,427","19,783","1,933","2,262",669,232,"14,687"
ualad09:Hammersmith and Fulham,"80,590","30,148","7,058","23,090","34,880","1,621","16,661","5,808","3,483","5,426","1,944",247,240,1,4,2,"7,433","5,838",770,611,214,"8,918","3,305","2,486","3,127","15,562","1,158","1,221","1,166",225,"11,792"
ualad09:Haringey,"101,955","32,524","7,974","24,550","52,069","2,538","23,722","6,810","5,018","8,287","3,607",369,334,15,16,4,"10,098","6,604","1,622","1,552",320,"15,342","6,250","4,494","4,598","17,362","2,322","2,407",551,220,"11,862"
ualad09:Islington,"93,556","36,240","7,597","28,643","41,415","1,797","15,886","5,993","3,110","4,582","2,201",544,515,19,9,1,"10,767","8,422","1,143",915,287,"12,421","4,943","3,666","3,812","15,901","1,263","1,290","1,290",204,"11,854"
ualad09:Kensington and Chelsea,"78,536","36,524","8,240","28,284","32,269","2,200","17,033","6,814","3,239","5,104","1,876",340,321,9,2,8,"6,247","5,020",579,457,191,"6,449","2,280","1,536","2,633","9,743",928,"1,148",826,204,"6,637"
ualad09:Lambeth,"130,017","44,691","9,208","35,483","58,657","2,270","22,780","7,350","5,134","7,244","3,052",633,591,19,5,18,"13,913","9,944","1,907","1,675",387,"19,061","7,510","6,049","5,502","26,669","2,750","2,554",859,227,"20,279"
ualad09:Lewisham,"116,091","39,680","9,994","29,686","59,590","3,134","25,872","7,652","5,546","8,571","4,103",370,333,22,13,2,"11,419","6,755","2,039","2,161",464,"18,795","7,864","5,437","5,494","16,821","2,583","2,674",718,307,"10,539"
ualad09:Newham,"101,519","26,536","7,001","19,535","49,217","1,975","26,323","5,500","5,577","10,882","4,364",143,133,4,5,1,"5,789","3,028","1,155","1,259",347,"14,987","5,213","5,087","4,687","25,766","4,837","5,796","1,791",219,"13,123"
ualad09:Southwark,"120,422","40,307","9,008","31,299","56,510","2,291","23,131","7,783","5,231","7,026","3,091",616,586,17,8,5,"13,368","8,825","2,178","1,917",448,"17,104","6,621","5,395","5,088","23,605","2,895","2,757","1,747",245,"15,961"
ualad09:Tower Hamlets,"101,257","35,047","6,038","29,009","44,341","1,295","22,263","6,908","4,145","9,062","2,148",411,395,10,2,4,"9,613","7,606",932,850,225,"10,759","4,059","3,268","3,432","21,869","1,799","2,789","1,974",162,"15,145"
ualad09:Wandsworth,"130,493","42,106","10,385","31,721","63,016","3,045","31,686","11,009","6,882","10,265","3,530",529,509,9,10,1,"15,418","12,391","1,430","1,300",297,"12,338","4,646","3,263","4,429","25,371","1,944","1,903",965,299,"20,260"
ualad09:Westminster,"105,772","47,893","11,035","36,858","42,784","2,712","21,612","8,776","4,221","6,176","2,439",499,492,2,2,3,"8,452","7,033",673,523,223,"9,509","3,357","2,645","3,507","15,095","1,232","1,268","1,297",258,"11,040"
ualad09:Barking and Dagenham,"69,681","19,215","7,347","11,868","41,787","2,884","20,162","4,967","4,238","7,271","3,686",45,36,4,2,3,"5,426","2,022","1,231","1,805",368,"13,270","5,204","4,805","3,261","8,679","1,992","2,385",235,181,"3,886"
ualad09:Barnet,"135,916","37,957","14,407","23,550","79,382","7,784","46,627","12,046","9,439","16,856","8,286",174,162,2,8,2,"9,043","5,552","1,593","1,434",464,"15,754","5,613","4,456","5,685","18,577","2,923","3,177",645,443,"11,389"
ualad09:Bexley,"92,604","25,789","11,992","13,797","60,019","7,605","32,219","9,487","5,982","9,846","6,904",72,63,7,2,0,"8,434","3,776","1,906","2,185",567,"11,689","3,999","3,708","3,982","6,796","1,385","1,664",205,316,"3,226"
ualad09:Brent,"110,286","30,616","8,808","21,808","56,451","3,816","30,650","6,652","6,416","10,602","6,980",126,117,5,0,4,"6,503","3,863","1,192","1,098",350,"15,356","5,138","4,655","5,563","23,219","4,141","4,660",595,437,"13,386"
ualad09:Bromley,"130,862","40,815","16,856","23,959","81,743","10,661","44,852","14,244","8,630","13,883","8,095",204,189,5,9,1,"11,584","6,389","2,320","2,283",592,"14,442","5,177","4,454","4,811","8,304","1,443","1,545",56,426,"4,834"
ualad09:Croydon,"145,010","43,043","14,107","28,936","85,662","7,394","43,245","12,510","8,888","13,564","8,283",235,209,8,9,9,"11,628","5,870","2,470","2,564",724,"23,160","9,684","7,137","6,339","16,305","3,146","3,583",319,387,"8,870"
ualad09:Ealing,"124,082","35,329","11,328","24,001","66,901","4,570","38,302","9,440","8,098","13,615","7,149",277,260,9,5,3,"8,614","5,368","1,538","1,290",418,"15,138","5,043","4,585","5,510","21,852","3,628","4,205",575,346,"13,098"
ualad09:Enfield,"119,916","33,359","12,108","21,251","73,335","6,563","38,454","9,408","7,722","13,150","8,174",140,125,5,8,2,"8,200","4,127","1,746","1,816",511,"19,978","7,549","6,580","5,849","13,222","2,674","2,797",310,294,"7,147"
ualad09:Greenwich,"101,045","32,370","9,418","22,952","55,070","3,866","26,660","8,007","5,509","8,616","4,528",217,202,9,4,2,"9,683","5,193","1,801","2,204",485,"14,644","5,696","4,763","4,185","13,605","2,470","2,911",693,236,"7,295"
ualad09:Harrow,"84,268","19,008","8,985","10,023","52,399","5,817","33,264","8,079","6,884","10,910","7,391",74,71,2,1,0,"3,950","2,191",753,719,287,"9,294","3,082","2,478","3,734","12,861","2,684","3,147",255,281,"6,494"
ualad09:Havering,"97,199","28,215","13,499","14,716","62,856","8,850","34,080","10,503","6,061","9,555","7,961",54,45,3,6,0,"8,431","4,012","1,842","2,007",570,"11,441","3,768","3,456","4,217","6,128","1,260","1,283",53,337,"3,195"
ualad09:Hillingdon,"100,214","25,290","10,953","14,337","62,745","6,215","35,650","9,774","7,112","11,723","7,041",115,105,7,2,1,"7,936","4,040","1,635","1,732",529,"12,829","4,614","3,928","4,287","12,179","2,382","2,748",870,242,"5,937"
ualad09:Hounslow,"94,902","25,985","8,651","17,334","53,645","3,659","30,576","8,284","6,855","9,730","5,707",196,183,6,5,2,"7,326","4,197","1,388","1,293",448,"11,888","4,226","3,444","4,218","15,272","2,860","2,945",491,219,"8,757"
ualad09:Kingston upon Thames,"63,639","18,198","6,762","11,436","37,942","3,562","22,609","6,736","4,744","7,554","3,575",127,115,6,5,1,"6,045","3,907","1,003",898,237,"5,599","2,062","1,488","2,049","7,499",931,993,"1,267",177,"4,131"
ualad09:Merton,"78,757","22,294","7,695","14,599","45,323","3,626","26,105","7,918","5,542","8,567","4,078",183,172,3,6,2,"7,287","4,801","1,105","1,094",287,"8,122","2,792","2,301","3,029","11,140","1,675","1,803",248,207,"7,207"
ualad09:Redbridge,"99,105","25,228","9,992","15,236","59,846","5,361","36,363","8,471","7,543","13,178","7,171",148,141,2,3,2,"5,871","3,192","1,127","1,202",350,"12,103","4,357","3,860","3,886","14,031","2,830","4,055",435,275,"6,436"
ualad09:Richmond upon Thames,"79,835","26,008","9,434","16,574","47,292","4,238","28,266","8,999","5,883","9,853","3,531",236,224,9,2,1,"8,288","5,649","1,284","1,125",230,"6,264","2,333","1,549","2,382","6,535",773,837,285,223,"4,417"
ualad09:Sutton,"78,174","23,749","9,203","14,546","48,503","4,981","27,547","8,260","5,668","8,727","4,892",83,76,5,1,1,"7,390","3,902","1,598","1,483",407,"8,502","3,086","2,473","2,943","5,922","1,165","1,157",25,212,"3,363"
ualad09:Waltham Forest,"96,861","28,756","8,879","19,877","51,894","3,534","26,657","6,536","5,761","9,467","4,893",213,189,12,6,6,"8,247","4,283","1,824","1,680",460,"13,243","4,587","4,331","4,325","16,211","3,043","2,952",617,264,"9,335"
ualad09:Bracknell Forest,"45,878","12,707","4,448","8,259","30,227","2,994","17,710","6,135","3,453","5,519","2,603",70,62,5,3,0,"4,983","2,943",901,935,204,"4,470","1,676","1,370","1,424","2,944",578,499,24,89,"1,754"
ualad09:Brighton and Hove,"121,540","44,294","14,468","29,826","61,608","5,854","27,400","9,732","5,431","8,346","3,891",937,845,45,40,7,"15,428","9,918","2,652","2,399",459,"11,989","5,518","3,119","3,352","15,638","1,267",992,"2,873",348,"10,158"
ualad09:Isle of Wight,"61,085","19,957","10,055","9,902","37,649","6,944","18,762","8,625","2,963","4,403","2,771",65,55,4,3,3,"5,699","2,884","1,256","1,270",289,"6,179","2,456","1,708","2,015","3,479",625,564,19,285,"1,986"
ualad09:Medway,"106,209","29,434","11,868","17,566","69,146","7,436","37,279","13,080","6,686","10,744","6,769",120,95,12,5,8,"11,888","5,547","2,770","2,925",646,"12,423","4,325","4,081","4,017","7,629","1,354","1,421",497,249,"4,108"
ualad09:Milton Keynes,"98,584","25,546","8,602","16,944","64,729","5,429","36,406","12,863","6,941","11,317","5,285",123,103,8,8,4,"11,349","6,017","2,391","2,448",493,"11,422","4,312","3,854","3,256","8,309","1,552","1,635",51,146,"4,925"
ualad09:Portsmouth,"85,473","27,471","10,334","17,137","47,664","4,881","23,102","8,205","4,425","6,773","3,699",155,134,11,8,2,"9,451","5,229","1,873","1,929",420,"10,075","4,349","2,986","2,740","10,338","1,180",943,"2,910",279,"5,026"
ualad09:Reading,"62,869","19,237","5,954","13,283","35,995","3,288","19,117","6,598","3,969","5,918","2,632",92,81,4,3,4,"6,722","4,227","1,125","1,127",243,"6,776","2,707","2,020","2,049","7,637","1,010","1,020",951,144,"4,512"
ualad09:Slough,"50,766","14,447","4,013","10,434","29,328","1,812","17,206","4,172","3,837","6,333","2,864",29,27,2,0,0,"3,790","1,951",899,751,189,"6,491","2,251","2,252","1,988","6,991","1,557","1,991",105,87,"3,251"
ualad09:Southampton,"98,254","33,241","11,283","21,958","53,070","5,647","26,459","9,893","4,972","7,465","4,129",136,117,7,7,5,"10,780","6,308","1,895","2,092",485,"10,048","3,742","3,176","3,130","11,943","1,343","1,286","2,955",252,"6,107"
ualad09:West Berkshire,"62,340","16,123","6,820","9,303","42,638","5,302","25,888","9,701","4,508","7,828","3,851",61,50,6,2,3,"6,289","3,636","1,101","1,278",274,"5,098","1,757","1,583","1,758","3,579",627,560,15,146,"2,231"
ualad09:Windsor and Maidenhead,"58,349","16,554","6,926","9,628","37,618","5,052","22,489","7,630","4,040","7,383","3,436",101,94,4,3,0,"5,306","3,140",963,963,240,"4,670","1,609","1,289","1,772","4,177",690,750,16,135,"2,586"
ualad09:Wokingham,"60,332","14,084","6,164","7,920","42,808","5,670","27,359","9,150","5,005","9,158","4,046",78,73,3,1,1,"5,339","3,228",934,968,209,"4,362","1,422","1,257","1,683","3,440",645,625,30,109,"2,031"
