2011 census qs113ew - household composition - households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All categories: Household composition,One person household: Total,One person household: Aged 65 and over,One person household: Other,One family only: Total,One family only: All aged 65 and over,One family only: Married cple: Total,One family only: Married cple: No kids,One family only: Married cple: One dep child,One family only: Married cple: Two or more dep kids,One family only: Married cple: All kids non-dep,One family only: Same-sex civ part cple: Total,One family only: Same-sex civ part cple: No kids,Same-sex civ part cple: One dep child,Same-sex civ part cple: Two plus dep kids,One family only: Same-sex civ part cple: All kids non-dep,One family only: Cohabiting cple: Total,One family only: Cohabiting cple: No kids,One family only: Cohabiting cple: One dep child,One family only: Cohabiting cple: Two or more dep kids,One family only: Cohabiting cple: All kids non-dep,One family only: Lone parent: Total,One family only: Lone parent: One dep child,One family only: Lone parent: Two or more dep kids,One family only: Lone parent: All kids non-dep,Other: Total,Other: With one dep child,Other: With two or more dep kids,Other: All full-time students,Other: All aged 65 and over,Other: Other
uacounty09:Derbyshire,"332,637","96,233","43,270","52,963","221,783","31,936","120,517","49,708","20,364","29,992","20,453",415,356,28,24,7,"37,356","19,458","7,966","7,968","1,964","31,559","11,808","8,749","11,002","14,621","2,772","2,233",109,857,"8,650"
uacounty09:Leicestershire,"267,434","72,496","33,126","39,370","180,176","26,776","102,470","39,456","17,078","28,504","17,432",311,264,21,16,10,"27,519","14,734","5,603","5,801","1,381","23,100","8,310","6,693","8,097","14,762","2,744","2,615","1,383",617,"7,403"
uacounty09:Lincolnshire,"306,971","87,130","41,905","45,225","201,946","34,551","109,195","49,549","17,561","26,141","15,944",297,260,15,12,10,"31,657","17,169","6,682","6,412","1,394","26,246","9,833","8,119","8,294","17,895","3,434","2,724",738,"1,041","9,958"
uacounty09:Northamptonshire,"287,730","80,100","31,250","48,850","189,314","23,282","103,856","40,941","17,745","29,638","15,532",276,238,19,12,7,"32,162","17,308","6,551","6,825","1,478","29,738","11,292","9,569","8,877","18,316","3,357","3,134",595,651,"10,579"
uacounty09:Nottinghamshire,"334,303","94,773","42,698","52,075","222,339","32,271","120,998","48,922","20,950","30,681","20,445",412,348,25,25,14,"36,234","18,638","7,933","7,778","1,885","32,424","12,269","9,473","10,682","17,191","3,210","2,827",678,809,"9,667"
"uacounty09:Herefordshire, County of","78,319","22,540","11,209","11,331","50,933","8,811","27,881","11,580","4,362","7,384","4,555",85,75,4,4,2,"7,434","3,981","1,540","1,525",388,"6,722","2,544","1,730","2,448","4,846",924,696,44,320,"2,862"
uacounty09:Shropshire,"129,674","37,540","18,077","19,463","85,442","14,284","47,053","19,242","7,448","12,360","8,003",143,121,9,6,7,"12,974","6,956","2,574","2,871",573,"10,988","3,820","2,890","4,278","6,692","1,251","1,066",49,493,"3,833"
uacounty09:Stoke-on-Trent,"107,575","35,357","13,323","22,034","65,419","7,663","32,664","12,593","5,738","8,110","6,223",108,96,6,4,2,"11,928","5,457","3,002","2,823",646,"13,056","5,161","3,887","4,008","6,799","1,264","1,270",806,277,"3,182"
uacounty09:Telford and Wrekin,"66,608","16,793","7,113","9,680","45,007","5,035","24,122","9,152","4,292","6,606","4,072",89,69,5,12,3,"7,951","3,793","1,731","2,028",399,"7,810","3,042","2,352","2,416","4,808","1,015",913,182,165,"2,533"
uacounty09:Staffordshire,"355,263","98,491","44,771","53,720","239,030","35,629","133,879","52,358","22,847","33,909","24,765",310,270,19,11,10,"36,615","18,452","8,098","8,144","1,921","32,597","12,160","8,856","11,581","17,742","3,752","3,081",777,867,"9,265"
